Board    0
Tmask    0x1
start    150
step     1
Nstep    200
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  349    2.000e+00     2.000e+00     0.000e+00
  348    1.000e+01     1.000e+01     0.000e+00
  347    0.000e+00     0.000e+00     0.000e+00
  346    8.000e+00     8.000e+00     0.000e+00
  345    2.000e+00     2.000e+00     0.000e+00
  344    4.000e+00     4.000e+00     0.000e+00
  343    4.000e+00     4.000e+00     0.000e+00
  342    2.000e+00     2.000e+00     0.000e+00
  341    6.000e+00     6.000e+00     0.000e+00
  340    8.000e+00     8.000e+00     0.000e+00
  339    1.000e+01     1.000e+01     0.000e+00
  338    2.400e+01     2.400e+01     0.000e+00
  337    1.800e+01     1.800e+01     0.000e+00
  336    2.800e+01     2.800e+01     0.000e+00
  335    2.400e+01     2.400e+01     0.000e+00
  334    2.400e+01     2.400e+01     0.000e+00
  333    3.600e+01     3.600e+01     0.000e+00
  332    3.400e+01     3.400e+01     0.000e+00
  331    5.200e+01     5.200e+01     0.000e+00
  330    4.400e+01     4.400e+01     0.000e+00
  329    5.000e+01     5.000e+01     0.000e+00
  328    6.400e+01     6.400e+01     0.000e+00
  327    5.000e+01     5.000e+01     0.000e+00
  326    4.200e+01     4.200e+01     0.000e+00
  325    6.600e+01     6.600e+01     0.000e+00
  324    3.800e+01     3.800e+01     0.000e+00
  323    4.200e+01     4.200e+01     0.000e+00
  322    4.600e+01     4.600e+01     0.000e+00
  321    7.800e+01     7.800e+01     0.000e+00
  320    7.600e+01     7.600e+01     0.000e+00
  319    7.200e+01     7.200e+01     0.000e+00
  318    7.400e+01     7.400e+01     0.000e+00
  317    6.400e+01     6.400e+01     0.000e+00
  316    8.400e+01     8.400e+01     0.000e+00
  315    1.000e+02     1.000e+02     0.000e+00
  314    1.040e+02     1.040e+02     0.000e+00
  313    1.040e+02     1.040e+02     0.000e+00
  312    7.400e+01     7.400e+01     0.000e+00
  311    1.120e+02     1.120e+02     0.000e+00
  310    9.400e+01     9.400e+01     0.000e+00
  309    1.140e+02     1.140e+02     0.000e+00
  308    1.320e+02     1.320e+02     0.000e+00
  307    1.080e+02     1.080e+02     0.000e+00
  306    1.140e+02     1.140e+02     0.000e+00
  305    1.180e+02     1.180e+02     0.000e+00
  304    1.220e+02     1.220e+02     0.000e+00
  303    1.180e+02     1.180e+02     0.000e+00
  302    1.120e+02     1.120e+02     0.000e+00
  301    1.460e+02     1.460e+02     0.000e+00
  300    1.620e+02     1.620e+02     0.000e+00
  299    1.000e+02     1.000e+02     0.000e+00
  298    1.620e+02     1.620e+02     0.000e+00
  297    1.440e+02     1.440e+02     0.000e+00
  296    1.520e+02     1.520e+02     0.000e+00
  295    1.440e+02     1.440e+02     0.000e+00
  294    1.520e+02     1.520e+02     0.000e+00
  293    1.360e+02     1.360e+02     0.000e+00
  292    1.580e+02     1.580e+02     0.000e+00
  291    1.940e+02     1.940e+02     0.000e+00
  290    2.200e+02     2.200e+02     0.000e+00
  289    2.360e+02     2.380e+02     0.000e+00
  288    2.620e+02     2.640e+02     0.000e+00
  287    3.080e+02     3.100e+02     0.000e+00
  286    4.400e+02     4.440e+02     0.000e+00
  285    5.580e+02     5.640e+02     0.000e+00
  284    6.580e+02     6.620e+02     0.000e+00
  283    9.760e+02     9.760e+02     0.000e+00
  282    1.164e+03     1.170e+03     0.000e+00
  281    1.416e+03     1.424e+03     0.000e+00
  280    1.716e+03     1.720e+03     0.000e+00
  279    1.814e+03     1.818e+03     0.000e+00
  278    2.114e+03     2.122e+03     0.000e+00
  277    2.266e+03     2.272e+03     0.000e+00
  276    2.546e+03     2.546e+03     0.000e+00
  275    2.774e+03     2.774e+03     0.000e+00
  274    2.970e+03     2.972e+03     0.000e+00
  273    3.088e+03     3.088e+03     0.000e+00
  272    3.170e+03     3.170e+03     0.000e+00
  271    3.266e+03     3.272e+03     0.000e+00
  270    3.302e+03     3.296e+03     0.000e+00
  269    3.426e+03     3.426e+03     0.000e+00
  268    3.594e+03     3.594e+03     0.000e+00
  267    3.712e+03     3.706e+03     0.000e+00
  266    3.772e+03     3.766e+03     0.000e+00
  265    3.852e+03     3.850e+03     0.000e+00
  264    3.974e+03     3.968e+03     0.000e+00
  263    4.220e+03     4.214e+03     0.000e+00
  262    4.204e+03     4.200e+03     0.000e+00
  261    4.386e+03     4.378e+03     0.000e+00
  260    4.432e+03     4.430e+03     0.000e+00
  259    4.586e+03     4.584e+03     0.000e+00
  258    4.566e+03     4.568e+03     0.000e+00
  257    4.844e+03     4.840e+03     0.000e+00
  256    4.814e+03     4.798e+03     0.000e+00
  255    4.814e+03     4.800e+03     0.000e+00
  254    5.022e+03     5.010e+03     0.000e+00
  253    5.130e+03     5.116e+03     0.000e+00
