Board    0
Tmask    0x1
start    150
step     5
Nstep    30
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  295    0.000e+00     0.000e+00     0.000e+00
  290    0.000e+00     0.000e+00     0.000e+00
  285    2.000e+00     2.000e+00     0.000e+00
  280    0.000e+00     0.000e+00     0.000e+00
  275    2.000e+00     2.000e+00     0.000e+00
  270    4.000e+00     4.000e+00     0.000e+00
  265    8.000e+00     8.000e+00     0.000e+00
  260    1.200e+01     1.200e+01     0.000e+00
  255    1.200e+01     1.200e+01     0.000e+00
  250    1.200e+01     1.200e+01     0.000e+00
  245    1.200e+01     1.200e+01     0.000e+00
  240    9.800e+01     1.000e+02     0.000e+00
  235    5.400e+02     5.420e+02     0.000e+00
  230    7.480e+02     7.480e+02     0.000e+00
  225    9.260e+02     9.280e+02     0.000e+00
  220    1.110e+03     1.110e+03     0.000e+00
  215    1.168e+03     1.166e+03     0.000e+00
  210    1.348e+03     1.354e+03     0.000e+00
  205    1.811e+04     1.836e+04     0.000e+00
  200    7.011e+04     7.012e+04     0.000e+00
  195    7.655e+04     7.633e+04     0.000e+00
  190    7.597e+04     7.531e+04     0.000e+00
  185    7.683e+04     7.586e+04     0.000e+00
  180    7.729e+04     7.564e+04     0.000e+00
  175    2.183e+05     2.157e+05     0.000e+00
  170    2.485e+07     1.129e+06     0.000e+00
  165    9.761e+06     0.000e+00     0.000e+00
  160    9.355e+04     0.000e+00     0.000e+00
  155    1.143e+04     0.000e+00     0.000e+00
  150    1.542e+03     0.000e+00     0.000e+00
