Board    0
Tmask    0x1
start    150
step     5
Nstep    40
time     5.000000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  345    0.000e+00     0.000e+00     0.000e+00
  340    0.000e+00     0.000e+00     0.000e+00
  335    0.000e+00     0.000e+00     0.000e+00
  330    0.000e+00     0.000e+00     0.000e+00
  325    0.000e+00     0.000e+00     0.000e+00
  320    0.000e+00     0.000e+00     0.000e+00
  315    0.000e+00     0.000e+00     0.000e+00
  310    0.000e+00     0.000e+00     0.000e+00
  305    0.000e+00     0.000e+00     0.000e+00
  300    0.000e+00     0.000e+00     0.000e+00
  295    0.000e+00     0.000e+00     0.000e+00
  290    0.000e+00     0.000e+00     0.000e+00
  285    0.000e+00     0.000e+00     0.000e+00
  280    0.000e+00     0.000e+00     0.000e+00
  275    0.000e+00     0.000e+00     0.000e+00
  270    0.000e+00     0.000e+00     0.000e+00
  265    0.000e+00     0.000e+00     0.000e+00
  260    0.000e+00     0.000e+00     0.000e+00
  255    0.000e+00     0.000e+00     0.000e+00
  250    0.000e+00     0.000e+00     0.000e+00
  245    0.000e+00     0.000e+00     0.000e+00
  240    0.000e+00     0.000e+00     0.000e+00
  235    0.000e+00     0.000e+00     0.000e+00
  230    0.000e+00     0.000e+00     0.000e+00
  225    1.200e+00     6.000e-01     0.000e+00
  220    0.000e+00     0.000e+00     0.000e+00
  215    0.000e+00     0.000e+00     0.000e+00
  210    0.000e+00     0.000e+00     0.000e+00
  205    0.000e+00     0.000e+00     0.000e+00
  200    0.000e+00     0.000e+00     0.000e+00
  195    0.000e+00     0.000e+00     0.000e+00
  190    8.000e-01     2.000e-01     0.000e+00
  185    2.480e+01     2.600e+01     0.000e+00
  180    1.359e+04     1.370e+04     0.000e+00
  175    2.975e+06     2.087e+06     0.000e+00
  170    3.355e+06     1.054e+04     0.000e+00
  165    3.355e+06     0.000e+00     0.000e+00
  160    5.430e+04     0.000e+00     0.000e+00
  155    3.220e+01     0.000e+00     0.000e+00
  150    0.000e+00     0.000e+00     0.000e+00
