//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 15:03:20 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      603     4697        -        -         6318.560            0		1
  0  00      365     2862        -        -        16917.912            1		1
  0  00      491     3840        -        -        21239.256            2		1
  0  00      872     6978        -        -        26788.200            3		1
  0  00      188     1456        -        -        31327.448            4		1
  0  00      185     1407        -        -        37128.616            5		1
  0  00      188     1512        -        -        41148.936            6		1
  0  00      195     1363        -        -        55548.904            7		1
  0  00      321     2438        -        -        57472.720            8		1
  0  00      250     1951        -        -        61690.608            9		1
  0  00      183     1483        -        -        61983.920           10		1
  0  00      323     2459        -        -        88031.376           11		1
  0  00      193     1426        -        -       100522.600           12		1
  0  00      264     2187        -        -       108559.608           13		1
  0  00      301     2348        -        -       125270.600           14		1
  0  00      204     1445        -        -       130859.224           15		1
  0  00      356     2798        -        -       131501.216           16		1
  0  00      168     1441        -        -       132885.104           17		1
  0  00      314     2401        -        -       136354.560           18		1
  0  00      192     1519        -        -       136604.616           19		1
  0  00      265     2141        -        -       136860.880           20		1
  0  00      194     1383        -        -       139145.192           21		1
  0  00      365     2867        -        -       141585.808           22		1
  0  00      641     5207        -        -       157577.584           23		1
  0  00      298     2482        -        -       173437.696           24		1
  0  00      332     2445        -        -       176432.072           25		1
  0  00      662     5234        -        -       176938.472           26		1
  0  00      204     1398        -        -       178091.088           27		1
  0  00      202     1640        -        -       182541.672           28		1
  0  00      250     2010        -        -       184937.832           29		1
  0  00      491     3857        -        -       186299.792           30		1
  0  00      185     1480        -        -       188753.848           31		1
  0  00      192     1463        -        -       207601.224           32		1
  0  00      725     5931        -        -       215310.768           33		1
  0  00      265     1927        -        -       220982.248           34		1
  0  00      157     1480        -        -       255363.384           35		1
  0  00      203     1681        -        -       260034.992           36		1
  0  00      307     2382        -        -       262349.288           37		1
  0  00      485     3798        -        -       270548.992           38		1
  0  00      307     2390        -        -       271303.984           39		1
  0  00      613     4767        -        -       276527.896           40		1
