//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Oct 16 07:58:53 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      159     1098        -        -          892.448            0		1
  0  00      144     1059        -        -         1156.840            1		1
  0  00      144     1082        -        -         1832.120            2		1
  0  00      187     1260        -        -         2106.016            3		1
  0  00      139     1027        -        -         2311.112            4		1
  0  00      147     1029        -        -         2322.424            5		1
  0  00      150     1078        -        -         3129.720            6		1
  0  00      200     1368        -        -         3933.376            7		1
  0  00      139     1075        -        -         5214.152            8		1
  0  00      150     1025        -        -         5640.152            9		1
  0  00      146     1047        -        -         5909.856           10		1
  0  00      148     1048        -        -         6423.240           11		1
  0  00      170     1165        -        -         6508.328           12		1
  0  00      160     1117        -        -         7228.880           13		1
  0  00      147     1083        -        -         7514.672           14		1
  0  00      152     1116        -        -         7643.064           15		1
  0  00      166     1232        -        -         8697.592           16		1
  0  00      144     1088        -        -         9540.712           17		1
  0  00      208     1632        -        -         9644.936           18		1
  0  00      154     1092        -        -        10530.280           19		1
  0  00      155     1147        -        -        10713.608           20		1
  0  00      135     1095        -        -        10729.352           21		1
  0  00      141     1068        -        -        11184.776           22		1
  0  00      245     1835        -        -        11561.288           23		1
  0  00      150     1074        -        -        12028.240           24		1
  0  00      152     1108        -        -        12557.816           25		1
  0  00      157     1075        -        -        12942.520           26		1
  0  00      176     1119        -        -        13714.048           27		1
  0  00      148     1117        -        -        13970.256           28		1
  0  00      147     1067        -        -        14899.528           29		1
  0  00      138     1133        -        -        15020.088           30		1
  0  00      184     1292        -        -        15284.264           31		1
  0  00      166     1133        -        -        15732.376           32		1
  0  00      170     1191        -        -        15764.208           33		1
  0  00      151     1081        -        -        15910.264           34		1
  0  00      170     1315        -        -        16060.904           35		1
  0  00      389     3126        -        -        16642.480           37		1
  0  00      425     3310        -        -        19095.416           38		1
  0  00      164     1129        -        -        19184.608           40		1
  0  00      150     1022        -        -        19493.816           41		1
  0  00      139     1080        -        -        19912.680           42		1
  0  00      137     1073        -        -        20133.096           43		1
  0  00      160     1086        -        -        20185.752           44		1
  0  00      161     1099        -        -        20849.488           45		1
  0  00      157     1029        -        -        20890.800           46		1
  0  00      148     1047        -        -        21500.688           47		1
  0  00      146     1107        -        -        21709.160           48		1
  0  00      156     1064        -        -        22533.232           49		1
  0  00      166     1101        -        -        22868.544           50		1
  0  00      159     1291        -        -        23598.592           51		1
  0  00      157     1046        -        -        23665.952           52		1
  0  00      146     1091        -        -        24215.904           53		1
  0  00      160     1098        -        -        25187.432           54		1
  0  00      136     1083        -        -        26777.288           55		1
  0  00      163     1173        -        -        26906.296           56		1
  0  00      141     1075        -        -        27073.552           57		1
  0  00      173     1214        -        -        27395.976           58		1
  0  00      148     1068        -        -        27519.960           59		1
  0  00      156     1045        -        -        28906.656           60		1
  0  00      140     1089        -        -        28931.520           61		1
  0  00      143     1048        -        -        29284.536           62		1
  0  00      144     1091        -        -        29601.304           63		1
  0  00      161     1090        -        -        30356.192           64		1
  0  00      147     1086        -        -        31326.536           65		1
  0  00      394     3056        -        -        31827.208           66		1
  0  00      197     1506        -        -        31850.544           67		1
  0  00      189     1613        -        -        32458.888           68		1
  0  00      151     1032        -        -        32663.384           69		1
  0  00      148     1088        -        -        32735.936           70		1
  0  00      167     1154        -        -        33493.016           71		1
  0  00      270     2124        -        -        33678.776           72		1
  0  00      156     1111        -        -        34913.408           73		1
  0  00      157     1092        -        -        35935.952           74		1
  0  00      151     1095        -        -        35965.024           75		1
  0  00      230     1827        -        -        36061.352           76		1
  0  00      163     1087        -        -        36752.840           77		1
  0  00      149     1090        -        -        36962.576           78		1
  0  00      143     1075        -        -        37518.696           79		1
  0  00      153     1097        -        -        37714.280           80		1
  0  00      145      961        -        -        38166.264           81		1
  0  00      172     1097        -        -        38186.816           82		1
  0  00      155     1136        -        -        38894.792           83		1
  0  00      149     1047        -        -        39529.800           84		1
  0  00      139     1018        -        -        40373.152           85		1
  0  00      157     1037        -        -        41097.728           86		1
  0  00      148     1195        -        -        41529.096           87		1
  0  00      230     1561        -        -        42809.376           88		1
  0  00      139     1014        -        -        43521.952           89		1
  0  00      156     1105        -        -        43894.888           90		1
  0  00      112      876   1279.5     31.0        43955.672           91		1
  0  00      165     1068        -        -        44277.184           94		1
  0  00      154     1031        -        -        46011.328           95		1
  0  00      148     1060        -        -        46075.240           96		1
  0  00      167     1339        -        -        48630.840           97		1
  0  00      136     1057        -        -        48733.344           98		1
  0  00      149     1075        -        -        49955.720           99		1
  0  00      675     5453        -        -        52215.120          100		1
  0  00      230     1689        -        -        52422.352          101		1
  0  00      159     1140        -        -        53214.000          102		1
  0  00      133     1088        -        -        53940.840          104		1
  0  00      157     1127        -        -        54378.552          105		1
  0  00      159     1269        -        -        54509.272          106		1
  0  00      165     1189        -        -        54866.360          107		1
  0  00      205     1565        -        -        56822.008          108		1
  0  00      147     1077        -        -        57130.752          109		1
  0  00      157     1074        -        -        58063.504          110		1
  0  00      133     1040        -        -        58195.528          111		1
  0  00      150     1009        -        -        58345.888          112		1
  0  00      483     3683        -        -        58783.256          113		1
  0  00      178     1325        -        -        59196.936          114		1
  0  00      182     1354        -        -        59250.360          115		1
  0  00      147     1118        -        -        59394.528          116		1
  0  00      151     1065        -        -        59612.440          117		1
  0  00      154     1055        -        -        60076.104          118		1
  0  00      127     1103        -        -        60448.080          119		1
  0  00      166     1083        -        -        60670.392          120		1
  0  00      162     1189        -        -        61272.192          121		1
  0  00      143     1080        -        -        62171.752          122		1
  0  00      142     1035        -        -        63312.264          123		1
  0  00      143     1018        -        -        63373.904          124		1
  0  00      189     1394        -        -        64822.912          125		1
  0  00      131     1209        -        -        65178.776          126		1
  0  00      161     1330        -        -        65604.128          127		1
  0  00      160     1029        -        -        66319.392          128		1
  0  00      138     1110        -        -        66600.320          129		1
  0  00      149     1082        -        -        66788.392          130		1
  0  00      137     1075        -        -        67642.952          131		1
  0  00       72      864        -        -        68676.096          132		1
  0  00      158     1041        -        -        69222.968          133		1
  0  00      127     1120        -        -        70074.784          134		1
  0  00      146     1020        -        -        70194.656          135		1
  0  00      150     1116        -        -        71543.752          136		1
  0  00      157     1077        -        -        73129.992          137		1
  0  00      158     1047        -        -        73401.456          138		1
  0  00      156     1111        -        -        73926.992          139		1
  0  00      161     1064        -        -        74313.616          140		1
  0  00      158     1006        -        -        74372.544          141		1
  0  00      219     1669        -        -        75043.744          142		1
  0  00      440     3655        -        -        75196.176          143		1
  0  00      123     1032        -        -        75897.768          144		1
  0  00      141     1008        -        -        76239.832          145		1
  0  00      167     1126        -        -        76310.592          146		1
  0  00      151     1102        -        -        76688.096          147		1
  0  00      143     1083        -        -        76952.672          148		1
  0  00      779     6236        -        -        77414.152          149		1
  0  00      513     4138        -        -        77524.640          150		1
  0  00      165     1063   1843.5     24.5        78214.384          151		1
